id,name,time,other names,类型
A1,星际牛仔,['1998年10月23日'],['Cowboy Bebop'],['科幻']
A2,攻壳机动队 S.A.C. 2nd GIG,['2004年1月1日'],none,"['科幻', '战斗']"
A3,攻壳机动队 STAND ALONE COMPLEX,['2002年10月1日'],['Ghost in the Shell: Stand Alone Complex'],"['科幻', '战斗']"
A4,CLANNAD ～AFTER STORY～,['2008年10月2日'],none,"['催泪', '治愈', '爱情', '恋爱', '校园']"
A5,新世纪福音战士,['1995年10月4日'],['EVA'],"['科幻', '机战', '战斗']"
A6,攻壳机动队,none,['攻殻機動隊'],['科幻']
A7,新世纪福音战士剧场版 Air/真心为你,none,['新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION'],"['科幻', '猎奇', '机战']"
A8,浪客剑心 追忆篇,none,none,"['战斗', '恋爱']"
A9,钢之炼金术师 FULLMETAL ALCHEMIST,['2009年4月5日'],['Fullmetal Alchemist: Brotherhood'],"['热血', '战斗', '奇幻']"
A10,猫和老鼠,['1940年2月10日'],['Tom and Jerry (1960s packaged show)'],"['搞笑', '日常']"
A11,3月的狮子 第二季,['2017年10月14日'],['三月的狮子 第二季'],"['治愈', '青春', '日常', '励志', '校园', '恋爱']"
A12,银魂',['2011年4月4日'],['银魂 第2期'],"['搞笑', '热血']"
A13,灌篮高手,['1993年10月16日'],['SLAM DUNK'],"['热血', '运动', '校园']"
A14,银河英雄传说,none,['Legend of Galactic Heroes'],['科幻']
A15,白箱,['2014年10月9日'],none,"['励志', '青春', '百合', '职场', '日常', '治愈', '搞笑']"
A16,银魂,['2006年4月4日'],none,"['搞笑', '热血']"
A17,虫师,['2005年10月22日'],['mushishi'],"['治愈', '奇幻']"
A18,进击的巨人 第三季 Part.2,['2019年4月28日'],none,"['热血', '战斗', '奇幻', '悬疑']"
A19,攻壳机动队2 无罪,none,['攻殻機動隊イノセンス'],['科幻']
A20,蓝色恐惧,none,['未麻的房间'],"['惊悚', '悬疑']"
A21,凉宫春日的消失,none,['The Disappearence of Sizumiya Haruhi'],"['校园', '科幻', '奇幻']"
A22,福音战士新剧场版：破,none,['EVANGELION:2.0 YOU CAN (NOT) ADVANCE.'],"['科幻', '机战', '战斗']"
A23,天元突破 红莲螺岩,['2007年4月1日'],['天元突破 红莲之眼'],"['热血', '机战', '战斗', '科幻']"
A24,千年女优,none,none,"['爱情', '治愈', '恋爱']"
A25,机动警察 和平保卫战,none,['Mobile Police Patlabor the Movie 2'],['科幻']
A26,瑞克和莫蒂 第三季,['2017-04-01'],none,"['科幻', '搞笑', '日常', '猎奇']"
A27,命运石之门,['2011年4月6日'],['シュタゲ'],"['科幻', '穿越']"
A28,千与千寻,none,['千与千寻的神隐'],"['奇幻', '治愈']"
A29,水星领航员 第三季,['2008年1月7日'],['アリア The ORIGINATION'],"['治愈', '科幻', '百合', '日常']"
A30,瑞克和莫蒂 第二季,['2015-07-26'],['瑞奇和莫迪 第二季'],"['科幻', '搞笑', '猎奇']"
A31,大闹天宫,none,['Sun Ukun: Uproar in Heaven'],['奇幻']
A32,混沌武士,['2004年5月19日'],['SAMURAI CHAMPLOO'],"['动作', '战斗']"
A33,虫师 续章 第2期,['2014年10月18日'],['虫师 续章 后半期'],"['治愈', '奇幻']"
A34,蜂蜜与四叶草,['2005年4月14日'],['蜂蜜幸运草'],"['青春', '校园', '治愈', '恋爱', '爱情']"
A35,虫师 续章,['2014年4月4日'],['Mushi-Shi: Next Passage'],"['治愈', '奇幻']"
A36,蜂蜜与四叶草II,['2006年6月29日'],['ハチミツとクローバーⅡ'],"['青春', '校园', '治愈', '恋爱', '爱情']"
A37,瑞克和莫蒂 第一季,['2013-12-02'],['瑞奇和莫迪 第一季'],"['科幻', '搞笑', '猎奇']"
A38,排球少年 乌野高校 VS 白鸟泽学园高校,['2016年10月7日'],['排球少年 第三季'],"['热血', '运动', '青春']"
A39,机动战士高达0080 口袋里的战争,none,['MOBILE SUIT GUNDAM 0080 War in the Pocket'],"['科幻', '机战']"
A40,机动战士Z高达,['1985年3月2日'],none,"['科幻', '机战']"
A41,天空之城,none,['天空之城拉普他'],"['奇幻', '治愈', '科幻', '冒险']"
A42,海贼王,['1999年10月20日'],['ワンピース'],"['热血', '战斗', '搞笑', '冒险', '友情']"
A43,四叠半神话大系,['2010年4月22日'],['四疊半神話大系'],"['科幻', '青春', '校园', '奇幻']"
A44,攻壳机动队2.0,none,['GHOST IN THE SHELL2.0'],['科幻']
A45,魔法少女小圆,['2011年1月7日'],['魔法少女まどか☆マギカ'],"['致郁', '治愈', '猎奇', '百合', '奇幻', '战斗']"
A46,盗梦侦探,none,['红辣椒'],"['科幻', '悬疑', '奇幻']"
A47,水星领航员 The AVVENIRE,none,none,"['治愈', '百合', '日常', '科幻']"
A48,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,none,['新世紀エヴァンゲリオン劇場版 REVIVAL OF EVANGELION'],"['科幻', '机战', '战斗']"
A49,乒乓,['2014年4月10日'],['ピンポン'],"['运动', '热血', '青春', '励志']"
A50,莉兹与青鸟,none,['Liz und ein Blauer Vogel'],"['百合', '校园', '青春', '治愈', '友情', '日常']"
A51,死亡笔记,['2006年10月4日'],['デスノート'],['悬疑']
A52,CLANNAD,['2007年10月4日'],['クラナド'],"['催泪', '治愈', '校园', '恋爱', '后宫']"
A53,哆啦A梦 大山版,['1979年4月2日'],['哆啦A梦 1979版'],"['搞笑', '科幻', '日常', '子供向', '奇幻']"
A54,幽灵公主,none,['魔法公主'],"['奇幻', '治愈']"
A55,剧场版 空之境界 第五章 矛盾螺旋,none,['the Garden of sinners: Paradox Paradigm.'],"['奇幻', '战斗']"
A56,攻壳机动队 S.A.C. Solid State Society,['2006年9月1日'],['攻壳机动队SSS'],['科幻']
A57,机动战士高达 逆袭的夏亚,none,none,"['科幻', '机战']"
A58,少女革命,['1997年4月2日'],['Revolutionary Girl Utena'],['百合']
A59,少女与战车 剧场版,none,['Girls und Panzer der Film'],"['百合', '战斗', '热血', '萌', '搞笑', '校园']"
A60,排球少年 第二季,['2015年10月3日'],none,"['热血', '运动', '校园', '青春']"
A61,日常,['2011年4月2日'],['Nichijou'],"['日常', '治愈', '搞笑', '萌', '校园', '百合']"
A62,昭和元禄落语心中 -助六再临篇-,['2017年1月6日'],['昭和元禄落语心中 第二季'],['治愈']
A63,猎人,['2011年10月2日'],['ハンター×ハンター 2011'],"['热血', '战斗', '冒险']"
A64,JOJO的奇妙冒险 星尘斗士 埃及篇,['2015年1月9日'],['JOJO的奇妙冒险 星尘十字军 埃及篇'],"['热血', '战斗', '奇幻', '冒险', '搞笑']"
A65,怪物,['2004年4月6日'],none,['悬疑']
A66,钢之炼金术师,['2003年10月4日'],['弹珠小金刚'],"['热血', '奇幻', '战斗']"
A67,风之谷,none,['风谷少女'],"['科幻', '奇幻', '治愈']"
A68,百变之星,['2003年4月3日'],['百变之星 崭新之翼（后半）'],"['励志', '百合', '青春']"
A69,Code Geass 反叛的鲁路修,['2006年10月5日'],['叛逆的鲁路修'],"['机战', '科幻', '战斗']"
A70,剧场版 魔法少女小圆 剧场版 [新篇] 叛逆的物语,none,['魔法少女小圆 叛逆的故事'],"['百合', '致郁', '治愈', '战斗', '奇幻']"
A71,棒球英豪,['1985年3月24日'],['Touch'],"['爱情', '青春', '校园', '友情', '运动', '恋爱']"
A72,∀高达,['1999年4月9日'],['逆A高达'],"['科幻', '机战']"
A73,FLCL,none,['フリクリ'],"['青春', '科幻']"
A74,星空清理者,['2003年10月4日'],['PLANET-ES'],"['科幻', '治愈', '职场']"
A75,数码兽大冒险,['1999-03-07'],['数码暴龙'],"['热血', '奇幻', '冒险', '战斗', '科幻']"
A76,十二国记,['2002年4月9日'],none,['奇幻']
A77,银魂' 延长战,['2012年10月4日'],"[""金魂'""]","['搞笑', '热血']"
A78,歌牌情缘2,['2013年1月11日'],['歌牌情缘 第二季'],"['青春', '热血', '校园', '励志', '运动', '恋爱', '治愈']"
A79,爆漫王。3,['2012年10月6日'],['Bakuman. 3'],"['励志', '热血', '青春']"
A80,福音战士新剧场版：序,none,['EVANGELION:1.0 YOU ARE (NOT) ALONE.'],"['科幻', '机战', '战斗']"
A81,星际牛仔 天国之扉,none,['赏金猎人：天国之扉'],"['科幻', '动作']"
A82,水星领航员 第二季,['2006年4月2日'],['アリア The NATURAL'],"['治愈', '科幻', '日常', '百合']"
A83,棋魂,['2001年10月10日'],['棋灵王'],"['热血', '励志', '运动']"
A84,化物语,['2009年7月3日'],['バケモノガタリ'],"['后宫', '奇幻', '恋爱']"
A85,3月的狮子,['2016年10月8日'],['3月的獅子'],"['治愈', '日常', '青春', '励志', '运动']"
A86,永生之酒,['2007年7月26日'],['BACCANO!'],['奇幻']
A87,太空丹迪 第二季,['2014年7月6日'],['宇宙浪子 第二季'],"['科幻', '搞笑']"
A88,虫师 蚀日之翳,['2014年1月4日'],['蟲師特別編 日蝕む翳'],"['治愈', '奇幻']"
A89,哆啦A梦,['2005年4月15日'],['哆啦A梦 2005版'],"['搞笑', '科幻', '治愈', '日常', '奇幻']"
A90,飞跃巅峰！,none,['Aim for the Top GunBuster'],"['科幻', '热血', '机战', '百合']"
