id,name,link,other names
CA1,山寺宏一,https://bgm.tv/person/3914,"['Yamadera Kouichi', 'やまでらこういち', 'Yamadera Kōichi', 'やまちゃん、バズーカ山寺']"
CA2,石塚運昇,https://bgm.tv/person/4045,"['石塚运升', '石塚 運昇', 'いしづか うんしょう', 'Ishizuka Unshō', 'いしづか ゆきのり', 'Ishizuka Yukinori']"
CA3,林原めぐみ,https://bgm.tv/person/3919,"['MEGUMI', '林原惠', '林原めぐみ', 'はやしばら めぐみ', 'Hayashibara Megumi']"
CA4,Wendee Lee,https://bgm.tv/person/35445,none
CA5,多田葵,https://bgm.tv/person/3921,"['Aoi Tada', '多田 葵', 'ただ あおい', 'Tada Aoi', 'Veil ∞ Aoi']"
CA6,若本規夫,https://bgm.tv/person/3920,"['若本規夫＝比留間狂ノ介＝比留間京之介＝長野勇＝狭山恭司＝男気一本＝古川源三郎＝川中嶋悟＝さとう雅義＝夕凪咲巳=佐藤康', '若本紀昭', 'わかもとのりあき', 'Wakamoto Norio']"
CA7,高島雅羅,https://bgm.tv/person/3860,"['たかしま がら', 'Takashima Gara']"
CA8,中尾隆聖,https://bgm.tv/person/4217,"['竹尾 智晴', 'たけお ともはる', 'Takeo Tomoharu', '南谷智晴、中尾竜生', '中尾 隆聖', 'なかお りゅうせい', 'Nakao Ryūsei']"
CA9,坂本真綾,https://bgm.tv/person/3877,"['さかもとまあや', 'Sakamoto Maaya', 'マーヤ(Maaya)']"
CA10,田中敦子,https://bgm.tv/person/3873,"['佐藤敦子（さとうあつこ）', 'たなかあつこ', 'Tanaka Atsuko', '少佐、あっちゃん']"
CA11,大塚明夫,https://bgm.tv/person/3832,"['大塚 明夫', 'おおつか あきお', 'Otsuka Akio']"
CA12,阪脩,https://bgm.tv/person/3997,"['Osamu Saka', '阪 脩', 'さか おさむ', 'Saka Osamu']"
CA13,仲野裕,https://bgm.tv/person/4722,"['仲野 裕', 'Nakano Yutaka']"
CA14,大川透,https://bgm.tv/person/4131,"['小次郎', 'おおかわ とおる', 'Ookawa Touru']"
CA15,小野塚貴志,https://bgm.tv/person/4721,"['小野塚貴志', 'Onozuka Takashi']"
CA16,玉川砂記子,https://bgm.tv/person/4171,"['玉川紗己子', '玉川紗己子', 'Tamagawa Sakiko']"
CA17,中村悠一,https://bgm.tv/person/4724,"['仲達', '中村悠一', 'なかむら ゆういち', 'Nakamura Yūichi', 'ゆうきゃん']"
CA18,中原麻衣,https://bgm.tv/person/4145,"['中原麻衣', 'なかはら まい', 'Nakahara Mai', 'まいまい（麻衣麻衣—“麦麦”）、まいたん（麻衣团子）、まいちゃん（麻衣酱）、まいさま（麻衣大人）', '阿部麻衣子（あべ まいこ）']"
CA19,こおろぎさとみ,https://bgm.tv/person/4113,"['こおろぎ さとみ', 'Koorogi Satomi', '興梠 さとみ', '河合春華＝こおろぎさとみ＝渋谷いつき＝長崎津久世＝中野里美＝仲水里江＝御園円＝結城香穂']"
CA20,井上喜久子,https://bgm.tv/person/3945,"['井之上喜久子', 'Kikuko', 'きっこさん', '熊谷喜久子（くまがい きくこ）', 'いのうえきくこ', 'Inoue Kikuko', 'お姉ちゃん、17才、きっこさん']"
CA21,置鮎龍太郎,https://bgm.tv/person/3976,"['竜二朗', '霜月亮平', 'おきあゆりょうたろう', 'Okiayu Ryoutarou', 'りょうちゃん、オッキー']"
CA22,中博史,https://bgm.tv/person/3998,"['中村博昭（なかむらひろあき）', 'なかひろし', 'Naka Hiroshi']"
CA23,川上とも子,https://bgm.tv/person/3880,"['河内笙子（Kawachi Shouko）', '笠井美津子（Kasai Mitsuko）', '川上倫子', 'かわかみともこ', 'Kawakami Tomoko', 'とも蔵']"
CA24,緑川光,https://bgm.tv/person/3967,"['緑川光＝青川輝＝黒崎和弥＝氷河流＝ヒロキ＝春城学幸', '緑川 光', 'みどりかわ ひかる', 'Midorikawa Hikaru', 'グリーンリバーライト、グリリバ、兄貴']"
CA25,皆口裕子,https://bgm.tv/person/4362,"['皆口 裕子', 'みなぐち ゆうこ', 'Minaguchi Yūko']"
CA26,緒方恵美,https://bgm.tv/person/4054,"['em:óu', 'Megumi Ogata', '緒方 恵美', 'おがた めぐみ', 'Ogata Megumi', 'アニキ']"
CA27,宮村優子,https://bgm.tv/person/3972,"['みやむー', 'みやむらゆうこ', 'Miyamura Yuuko', '関优子(Seki Yuuko)']"
CA28,三石琴乃,https://bgm.tv/person/3918,"['三石 琴乃', 'みついしことの', 'Mitsuishi Kotono']"
CA29,山口由里子,https://bgm.tv/person/4537,"['和泉牡丹＝山口由里子＝神無月舞＝鞍打芝利＝栗山真由子', 'Yamaguchi Yuriko']"
CA30,石田彰,https://bgm.tv/person/3927,"['いしだあきら', 'Ishida Akira', 'あーさん、あー様']"
CA31,清川元夢,https://bgm.tv/person/3915,"['清川 元夢', 'きよかわ もとむ', 'Kiyokawa Motomu']"
CA32,立木文彦,https://bgm.tv/person/4112,"['悪四季芸太', '立木 文彦', 'たちいき ふみひこ', 'Tachiki Fumihiko']"
CA33,大木民夫,https://bgm.tv/person/4050,Ooki Tamio
CA34,家弓家正,https://bgm.tv/person/3876,"['かゆみいえまさ', 'Kayumi Iemasa']"
CA35,長沢美樹,https://bgm.tv/person/3913,"['ながさわみき', 'Nagasawa Miki']"
CA36,優希比呂,https://bgm.tv/person/3912,"['朝美仁志', '结城比吕', '優希比呂', 'Yuuki Hiro', 'ゆうき ひろ', '結城 比呂', '露崎 照久（つゆさき てるひさ）']"
CA37,子安武人,https://bgm.tv/person/1096,"['子安武人＝十文字隼人＝神楽飛鳥＝大宇宙守護＝瑞生愁＝柵間拓哉＝浅井優希＝生類憐＝秋山水滸＝黒猫＝ジャック・クラウド＝鳳凰院龍彦＝壬生浪士＝壬申乱＝藤景吾＝十七条良房＝響洸＝黒木凱＝朝日奈悠＝樹冬隆', '子安 武人', 'こやす たけひと', 'Koyasu Takehito']"
CA38,涼風真世,https://bgm.tv/person/3992,"['森永佳奈女（Morinaga Kaname）', 'すずかぜまよ', 'Suzukaze Mayo']"
CA39,鈴木真仁,https://bgm.tv/person/4528,"['鈴木真仁', 'すずき まさみ', 'Suzuki Masami']"
CA40,岩男潤子,https://bgm.tv/person/3916,"['いわおじゅんこ', 'Iwao Junko', '岩（がん）ちゃん、潤子さん']"
CA41,池田秀一,https://bgm.tv/person/3985,"['池田秀一＝紅大君＝紅万寿＝久保田景虎', 'いけだしゅういち', 'Ikeda Shuuichi']"
CA42,鈴置洋孝,https://bgm.tv/person/3989,"['すずおきひろたか', 'Suzuoki Hirotaka']"
CA43,小粥よう子,https://bgm.tv/person/3990,"['日比野朱里（ひびのあかり，\tHibino Akari）', '高橋よう子', 'おがいようこ', 'Ogai Youko']"
CA44,佐々木望,https://bgm.tv/person/4188,"['ささき のぞむ', 'Sasaki Nozomu', '王子、望さん']"
CA45,関智一,https://bgm.tv/person/3868,"['せきともかず', 'Seki Tomokazu', 'シモネタ王、関智、チイチ、関さん']"
CA46,岩永哲哉,https://bgm.tv/person/3917,"['岩永哲也', 'いわながてつや', 'Iwanaga Tetsuya']"
CA47,高木渉,https://bgm.tv/person/3986,"['たかぎわたる', 'Takagi Wataru']"
CA48,朴璐美,https://bgm.tv/person/4027,"['朴 璐美', 'ぱく ろみ', 'Paku Romi', '朴さん、朴', '박로미']"
CA49,釘宮理恵,https://bgm.tv/person/3936,"['釘宮 理恵', 'くぎみや りえ', 'Kugimiya Rie', 'くぎみー、くぎゅ、钉钉さま、钉ちゃん、钉様']"
CA50,高本めぐみ,https://bgm.tv/person/4798,"['高本めぐみ', 'たかもと めぐみ', 'Takamoto Megumi']"
CA51,浪川大輔,https://bgm.tv/person/4254,"['浪川 大輔', 'なみかわ だいすけ', 'Namikawa Daisuke', 'なにかわ、へもかわ']"
CA52,鷹森淑乃,https://bgm.tv/person/4352,"['鷹森淑乃', 'たかもり よしの', 'Takamori Yoshino', '松井淑乃(まつい よしの)']"
CA53,小山茉美,https://bgm.tv/person/4159,"['小山茉美', 'こやま まみ', 'Koyama Mami']"
CA54,麻生美代子,https://bgm.tv/person/4366,"['麻生 美代子', 'あそう みよこ', 'Asou Miyoko']"
CA55,津田匠子,https://bgm.tv/person/5061,"['北沢利佳 / 北沢 利佳 (きたざわ りか)', 'Tsuda Showko', '津田 匠子', 'つだ しょうこ', 'Tsuda Shouko']"
CA56,佐々木誠二,https://bgm.tv/person/4560,Sasaki Seiji
CA57,三木眞一郎,https://bgm.tv/person/4101,"['三木 眞一郎', 'みき しんいちろう', 'Miki Shin-ichirō', '三木眞一郎＝四季路＝無量小路兜之介＝四季透']"
CA58,河西健吾,https://bgm.tv/person/7548,"['ししゃも=にしかわけんご=河西健吾', '河西 健吾', 'かわにし けんご', 'Kawanishi Kengo']"
CA59,茅野愛衣,https://bgm.tv/person/5847,"['茅野愛衣', 'かやの あい', 'Kayano Ai', '毛衣、茅衣、かやまろ']"
CA60,花澤香菜,https://bgm.tv/person/4765,"['花澤 香菜', 'はなざわ かな', 'Hanazawa Kana', '香菜、KANA、香菜ちゃん、香菜たん、もふもふ、花澤潤ちゃん、Hanakana、ハナザー、ざーさん']"
CA61,久野美咲,https://bgm.tv/person/11523,"['久野 美咲', 'くの みさき', 'Kuno Misaki']"
CA62,三瓶由布子,https://bgm.tv/person/4667,"['三瓶 由布子', 'さんぺい ゆうこ', 'Sanpei Yuuko']"
CA63,岡本信彦,https://bgm.tv/person/4950,"['おかもと のぶひこ', 'Okamoto Nobuhiko', 'のぶ、のぶくん、しこりん、ぴこりん']"
CA64,井上麻里奈,https://bgm.tv/person/4382,"['麻团', '井上麻里奈', 'いのうえ まりな', 'Inoue Marina', 'マリーナ，ポニー，麻里奈ちゃん', '二傻']"
CA65,細谷佳正,https://bgm.tv/person/4982,"['細谷佳正＝つばき三十朗', '細谷佳正', 'ほそや よしまさ', 'Hosoya Yoshimasa']"
CA66,杉田智和,https://bgm.tv/person/4513,"['杉田智和＝鉄仮面＝機動装甲＝何武者＝特務機兵＝露骨丸＝ほうでん亭センマイ＝香山道伸＝秋元駿＝加藤寛＝塚本太鱚＝獅子晴戸', '杉田智和', 'すぎた ともかず', 'Sugita Tomokazu', '杉、お杉、33、组长']"
CA67,阪口大助,https://bgm.tv/person/4231,"['阪口大助 = 川椰瓔', '阪口大助', 'さかぐち だいすけ', 'Sakaguchi Daisuke']"
CA68,菅生隆之,https://bgm.tv/person/4672,"['すごう たかゆき', 'Sugou Takayuki']"
CA69,野中藍,https://bgm.tv/person/4371,"['Ai Nonaka', '野中 藍', 'のなか あい', 'Nonaka Ai']"
CA70,高橋美佳子,https://bgm.tv/person/4412,"['Mikako Takahashi', '高橋美佳子', 'たかはし みかこ', 'Takahashi Mikako', 'みったん']"
CA71,ゆきのさつき,https://bgm.tv/person/3821,"['上原美由樹（Uehara Miyuki）', 'ゆきのさつき', 'Yukino Satsuki', '井上由起（いのうえ ゆき）', '雪乃五月（1992～2003.05）', '雪野五月（2003.05～2015.05）']"
