id,name,link
CH1,スパイク・スピーゲル / 史派克·斯皮格尔,https://bgm.tv/character/77
CH2,ジェット・ブラック / 杰特·布莱克,https://bgm.tv/character/78
CH3,フェイ・ヴァレンタイン / 菲·瓦伦丁,https://bgm.tv/character/79
CH4,エドワード・ウォン・ハウ・ペペル・チブルスキー4世 / 艾德,https://bgm.tv/character/80
CH5,アイン / 爱因,https://bgm.tv/character/81
CH6,ビシャス,https://bgm.tv/character/2297
CH7,ジュリア / 茱莉亚,https://bgm.tv/character/61523
CH8,ロコ,https://bgm.tv/character/21926
CH9,ステラ,https://bgm.tv/character/21927
CH10,草薙素子 / 草薙素子,https://bgm.tv/character/84
CH11,バトー / 巴特,https://bgm.tv/character/3002
CH12,公安9課,https://bgm.tv/character/3008
CH13,荒巻大輔 / 荒卷大辅,https://bgm.tv/character/3006
CH14,トグサ / 户草,https://bgm.tv/character/3010
CH15,イシカワ / 石川,https://bgm.tv/character/3013
CH16,サイトー / 斋藤,https://bgm.tv/character/3018
CH17,パズ / 帕兹,https://bgm.tv/character/3046
CH18,タチコマ / 塔奇克马,https://bgm.tv/character/7996
CH19,笑い男 / 笑脸男,https://bgm.tv/character/36174
CH20,岡崎朋也 / 冈崎朋也,https://bgm.tv/character/1007
CH21,古河渚 / 古河渚,https://bgm.tv/character/4
CH22,岡崎汐 / 冈崎汐,https://bgm.tv/character/1063
CH23,古河早苗 / 古河早苗,https://bgm.tv/character/1020
CH24,古河秋生 / 古河秋生,https://bgm.tv/character/1019
CH25,岡崎直幸 / 冈崎直幸,https://bgm.tv/character/1024
CH26,謎の少女 / 幻想世界的少女,https://bgm.tv/character/5954
CH27,芳野祐介 / 芳野佑介,https://bgm.tv/character/1021
CH28,伊吹公子 / 伊吹公子,https://bgm.tv/character/1022
CH29,碇シンジ / 碇真嗣,https://bgm.tv/character/302
CH30,綾波レイ / 绫波丽,https://bgm.tv/character/303
CH31,惣流・アスカ・ラングレー / 惣流·明日香·兰格雷,https://bgm.tv/character/304
