id,name,link,other names
P1,矢立肇,https://bgm.tv/person/99,"['矢立肇', 'やたて はじめ', 'Yatate Hajime']"
P2,渡辺信一郎,https://bgm.tv/person/100,"['渡辺信一郎', 'わたなべ しんいちろう', ""Watanabe Shin'ichirou""]"
P3,稲荷昭彦,https://bgm.tv/person/11555,"['稲荷明比古', 'いなりあきひこ', 'Inari Akihiko']"
P4,横手美智子,https://bgm.tv/person/337,"['ヨコテミチコ', 'よこてみちこ', 'Yokote Michiko']"
P5,信本敬子,https://bgm.tv/person/103,"['のぶもと けいこ', 'Nobumoto Keiko']"
P6,村井さだゆき,https://bgm.tv/person/226,"['村井貞之', 'むらいさだゆき', 'Murai Sadayuki']"
P7,佐藤大,https://bgm.tv/person/921,"['さとう だい', 'Satou Dai']"
P8,山口亮太,https://bgm.tv/person/49,"['比賀昇', '比贺升', '山口亮太', 'やまぐち りょうた', 'Yamaguchi Ryouta']"
P9,本郷みつる,https://bgm.tv/person/522,"['渋谷ポチ', '潮乱太', '郷満', 'ほんごうみつる', '猫賀大介', '本乡充', '本郷みつる', 'ほんごう みつる', 'Hongo Mitsuru', '本郷満']"
P10,飯田馬之介,https://bgm.tv/person/2598,"['いいだ うまのすけ', 'Iida Umanosuke', '飯田つとむ', '飯田勉']"
P11,都留稔幸,https://bgm.tv/person/1443,"['黑津安明', '黒津安明', 'つる\u3000としゆき', 'Tsuru Toshiyuki']"
P12,山内重保,https://bgm.tv/person/801,"['やまうち しげやす', 'Yamauchi Shigeyasu']"
P13,森邦宏,https://bgm.tv/person/1742,"['もり くにひろ', 'Mori Kunihiro']"
P14,赤根和樹,https://bgm.tv/person/560,"['赤根 和樹', 'あかね かずき', 'Akane Kazuki']"
P15,佐藤順一,https://bgm.tv/person/456,"['甚目喜一', '天上はじめ', 'ひかわ さくら', 'さとう じゅんいち', 'Satou Jun`ichi']"
P16,武井良幸,https://bgm.tv/person/3338,"['武井良幸', 'たけい よしゆき', 'Takei Yoshiyuki']"
P17,山口祐司,https://bgm.tv/person/343,"['山口佑司', '虎田功', '小田切警視', '小野葉塚之人', 'やしろ駿', 'やまぐち ゆうじ', 'Yamaguchi Yuuji']"
P18,佐藤育郎,https://bgm.tv/person/12491,none
P19,岡村天斎,https://bgm.tv/person/920,"['岡村豊', 'おかむら てんさい', 'Okamura Tensai']"
P20,山田弘和,https://bgm.tv/person/12284,none
P21,渡邊哲哉,https://bgm.tv/person/1373,"['渡邊哲也', '渡邉哲哉', '渡辺哲哉', 'わたなべてつや', 'Watanabe Tetsuya']"
P22,逢坂浩司,https://bgm.tv/person/1380,"['才谷梅太郎', '大阪太郎', 'おうさか ひろし', 'Ousaka Hiroshi']"
P23,中田栄治,https://bgm.tv/person/11569,"['中田栄治', 'なかだえいじ', 'Eiji Nakada']"
P24,後藤雅巳,https://bgm.tv/person/11371,"['goto masami', 'ごとう まさみ', 'gotou masami']"
P25,小森高博,https://bgm.tv/person/520,"['こもり たかひろ', 'Komori Takahiro']"
P26,杉浦幸次,https://bgm.tv/person/2005,"['杉浦幸次', 'Sugiura Kouji']"
P27,中村豊,https://bgm.tv/person/11475,"['高橋矢太郎', '高橋豊', 'なかむらゆたか', 'Yutaka Nakamura']"
P28,伊藤嘉之,https://bgm.tv/person/1428,"['伊藤嘉之', 'いとうよしゆき', 'Itou Yoshiyuki']"
P29,斎藤恒徳,https://bgm.tv/person/7999,"['Xi-X', '斉藤恒徳', 'さいとう つねのり']"
P30,鴨川浩,https://bgm.tv/person/11393,"['かもがわ ゆたか', 'Kamogawa Yutaka']"
P31,伊藤岳史,https://bgm.tv/person/373,"['いとう たけし', 'Itou Takeshi']"
P32,横山彰利,https://bgm.tv/person/2886,"['よこやまあきとし', 'Yokoyama Akitoshi']"
P33,星和伸,https://bgm.tv/person/11490,ほし かずのぶ
P34,大塚健,https://bgm.tv/person/1183,"['ケンオー', 'ケンオーさん', 'おおつか けん', 'Otsuka Ken']"
P35,宮田忠明,https://bgm.tv/person/12450,みやた ただあき
P36,吉田徹,https://bgm.tv/person/418,"['綾歌 軍', '吉田とおる', 'よしだ とおる', 'Yoshida Tooru']"
P37,川元利浩,https://bgm.tv/person/102,"['土岐義芸', 'かわもととしひろ', 'Kawamoto Toshihiro']"
P38,菅野宏紀,https://bgm.tv/person/3650,"['かんの\u3000ひろき', 'Kanno Hiroki']"
P39,橋本誠一,https://bgm.tv/person/9241,"['はしもと せいいち', 'Hashimoto Seiichi']"
P40,富岡隆司,https://bgm.tv/person/11410,"['富岡崇', 'とみおか たかし', 'Tomioka Takashi']"
P41,井上英紀,https://bgm.tv/person/2540,"['いのうえひでき', 'Inoue Hideki']"
P42,岡真里子,https://bgm.tv/person/1158,"['岡真理子', '岡真里子', 'おか まりこ', 'Oka Mariko']"
P43,津野田勝敏,https://bgm.tv/person/11551,つのだ かつとし
P44,入江泰浩,https://bgm.tv/person/224,"['入江泰浩', 'いりえ やすひろ', 'Irie Yasuhiro']"
P45,佐藤千春,https://bgm.tv/person/3421,"['さとうちはる', 'Satou Chiharu']"
P46,高橋しんや,https://bgm.tv/person/455,"['takahashi shinya', '高橋信也', '針井新哉', '高橋しんや', 'たかはし しんや', 'Takahashi Shin`ya']"
P47,伊東伸高,https://bgm.tv/person/3164,"['いとう のぶたけ', 'Itou Nobutaka']"
P48,高山朋浩,https://bgm.tv/person/11840,たかやま ともひろ
P49,高見明男,https://bgm.tv/person/1563,"['たかみ あきお', 'Takami Akio']"
P50,吉川博明,https://bgm.tv/person/12102,"['吉川博明', 'よしかわ\u3000ひろあき', 'Yosikawa Hiloaki']"
P51,大浪太,https://bgm.tv/person/25995,none
P52,シートベルツ,https://bgm.tv/person/6766,none
P53,菅野よう子,https://bgm.tv/person/101,"['Gabriela Robin', '菅野 洋子', 'Yoko Kanno', '菅野 よう子', 'かんの ようこ', 'Kanno Yōko']"
P54,中山しほ子,https://bgm.tv/person/562,"['中山しほ子', 'なかやま しほこ', 'Nakayama Shihoko']"
P55,しんぼたくろう,https://bgm.tv/person/12502,none
P56,本橋秀之,https://bgm.tv/person/287,"['亀本秀一', '本橋秀之', 'もとはし ひでゆき', 'Motohashi Hideyuki']"
P57,竹内浩志,https://bgm.tv/person/3279,"['たけうちひろし', 'Takeuchi Hiroshi']"
P58,佐野浩敏,https://bgm.tv/person/369,"['さの ひろとし', 'Sano Hirotoshi']"
P59,大神洋一,https://bgm.tv/person/104,"['大神洋一', 'Oogami Youichi']"
P60,サンライズ,https://bgm.tv/person/189,"['SUNRISE Inc.', 'サンライズ', '三癞子', '日本サンライズ', '株式会社サンライズ']"
P61,士郎正宗,https://bgm.tv/person/657,"['しろう まさむね', 'Shirow Masamune']"
P62,神山健治,https://bgm.tv/person/660,"['神山健治', 'かみやま\u3000けんじ', 'Kamiyama Kenji']"
P63,大松裕,https://bgm.tv/person/27333,none
P64,藤咲淳一,https://bgm.tv/person/2474,"['ふじさく じゅんいち', 'Fujisaki Jun`ichi']"
P65,櫻井圭記,https://bgm.tv/person/1907,"['さくらいよしき', 'Sakurai Yoshiki']"
P66,菅正太郎,https://bgm.tv/person/3337,"['すがしょうたろう', 'Suga Shoutarou']"
P67,松家雄一郎,https://bgm.tv/person/21363,松家 雄一郎
P68,河野利幸,https://bgm.tv/person/20159,none
P69,松本淳,https://bgm.tv/person/3510,"['まつもと あつし', 'Matsumoto Jun']"
P70,西村純二,https://bgm.tv/person/853,"['西村 純二', 'にしむら じゅんじ', 'Nishimura Junji', '西村ジュンジ']"
P71,下司泰弘,https://bgm.tv/person/20998,"['げし やすひろ', 'geshi yasuhiro']"
